Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
sensitive skin body wash,24545,1%,16%,87766,Beauty & Personal Care,$1.83,$1.49,Easy,35
luxury,24538,2%,-77%,219204,Beauty & Personal Care,$1.73,$1.18,Moderate,32
organic body wash,24177,4%,4%,39925,Beauty & Personal Care,$2.93,$2.63,Easy,49
women body wash,23755,-8%,1%,29206,Beauty & Personal Care,$4.36,$3.19,Easy,54
lush,23187,-1%,-26%,113097,Beauty & Personal Care,$0.73,$1.51,Easy,17
necessaire body wash,22505,8%,-24%,27728,Beauty & Personal Care,$1.16,$1.16,Easy,166
aesop hand soap,22436,-1%,-8%,26426,Beauty & Personal Care,$2.46,$2.00,Easy,21
goat milk body wash,22056,65%,-9%,29791,Beauty & Personal Care,$1.33,$0.93,Moderate,17
non toxic body wash,22052,5%,25%,32357,Beauty & Personal Care,$0.71,$1.28,Easy,99
dr squatch body wash,21939,19%,-25%,33348,Beauty & Personal Care,$3.69,$3.26,Easy,17
vanicream body wash,21859,12%,34%,29179,Beauty & Personal Care,$0.62,$0.63,Easy,35
le labo,21816,38%,-17%,120931,Beauty & Personal Care,$0.75,$0.83,Very Difficult,68
cyclar,21792,43%,69%,36866,Beauty & Personal Care,---,---,Easy,87
travel soap,21784,20%,9%,142668,Beauty & Personal Care,$1.40,$1.00,Moderate,20
anthropologie,21700,2%,-24%,181501,"Clothing, Shoes & Jewelry",$0.81,$0.85,Easy,49
unscented body wash,21689,-4%,21%,36963,Beauty & Personal Care,$6.71,$2.45,Easy,23
natural soap,21612,8%,-1%,107420,Beauty & Personal Care,$1.56,$2.26,Easy,17
jo malone,21548,14%,-45%,84411,Beauty & Personal Care,$0.61,$0.53,Very Difficult,17
ouai shampoo,21294,-9%,-23%,110479,Beauty & Personal Care,$0.97,$1.91,Easy,17
non toxic,20749,19%,9%,572668,Health & Household,$1.29,$1.52,Moderate,17
dr. bronner's castile soap,20479,35%,3%,24575,Beauty & Personal Care,$0.51,$0.53,Easy,17
dettol,20408,2%,-4%,89759,Beauty & Personal Care,$0.59,$0.70,Very Difficult,35
athena body wash,19911,-15%,333%,26139,Beauty & Personal Care,---,---,Easy,67
ouai leave in conditioner,19559,-3%,-25%,25654,Beauty & Personal Care,$6.58,$1.66,Easy,22
matches in a jar with striker,19192,-1%,-3%,22024,Health & Household,---,---,Easy,17
mens skin care,19172,-7%,-50%,33104,Beauty & Personal Care,$4.97,$3.01,Easy,17
body wash bulk,19100,9%,-1%,35782,Beauty & Personal Care,$2.00,$1.32,Easy,33
diptyque,18719,14%,-29%,50629,Home & Kitchen,$0.58,$0.78,Very Difficult,17
shower oil for women,18120,-25%,49%,28568,Beauty & Personal Care,$0.95,$1.20,Easy,67
w body wash,17954,938%,288%,18532,Beauty & Personal Care,---,---,Easy,19
dove body wash sensitive skin,17728,-4%,13%,97623,Beauty & Personal Care,---,---,Easy,17
salt and stone perfume,17393,15%,-7%,22907,Beauty & Personal Care,---,---,Easy,17
bath and body works body wash,17305,15%,-48%,28402,Beauty & Personal Care,---,---,Easy,17
origins,17164,33%,-45%,177645,Beauty & Personal Care,$1.08,$0.54,Very Difficult,17
