Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
salt and stone body oil,12599,561%,516%,15986,Beauty & Personal Care,---,---,Easy,23
vanilla body lotion,12461,5%,-24%,23651,Beauty & Personal Care,$1.57,$0.92,Moderate,19
neutrogena rainbath shower gel,12391,17%,17%,13890,Beauty & Personal Care,$0.90,$0.94,Easy,18
boric acid wash,12380,16%,-1%,40870,Health & Household,$1.57,$1.27,Easy,17
travel skincare set,12213,20%,-4%,22919,Beauty & Personal Care,$0.85,$0.86,Easy,21
cyklar body oil,12135,-19%,23%,17303,Beauty & Personal Care,---,---,Easy,19
body wash women moisturizing,12042,4%,-6%,12492,Beauty & Personal Care,---,---,Easy,35
handwash,11939,1%,-8%,29204,Beauty & Personal Care,$1.68,$0.99,Easy,21
molton brown body wash,11919,2%,-15%,13276,Beauty & Personal Care,$0.43,$0.71,Easy,106
lava soap,11725,19%,-27%,18433,Beauty & Personal Care,$0.84,$0.86,Easy,17
quai,11668,-6%,1%,49773,Beauty & Personal Care,$1.04,$1.26,Easy,17
stone,11637,8%,3%,2209583,Books,---,---,Very Difficult,33
primally pure,11585,-3%,-7%,51746,Beauty & Personal Care,$1.47,$1.09,Easy,17
body wash method,11508,-13%,-34%,19837,Beauty & Personal Care,$0.99,$0.81,Easy,17
bvlgari,11476,22%,-11%,53631,Beauty & Personal Care,$0.50,$0.49,Very Difficult,17
shampoo conditioner body wash dispenser,11405,8%,5%,14050,Home & Kitchen,---,---,Easy,17
